Song,Artist,Compound,Negative,Neutral,Positive,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
Games People Play,Alan Parsons Project,0.906,0.073,0.831,0.096,0,False,0.576,0.462,5,-9.962,1,0.0424,0.581,0.0,0.0884,0.881,119.718,jazz
Gemini,Alan Parsons Project,0.6597,0.04,0.854,0.106,21,False,0.378,0.991,7,-5.227,1,0.251,0.0108,1.18e-06,0.388,0.403,174.876,hardstyle
So Far Away,Alan Parsons Project,0.9861,0.056,0.79,0.154,66,False,0.286,0.703,4,-4.491,0,0.0348,0.00847,7.39e-05,0.142,0.259,151.297,alternative
Somebody Out There,Alan Parsons Project,-0.9334,0.138,0.78,0.083,58,False,0.405,0.409,7,-7.149,1,0.0305,0.343,0.0,0.197,0.233,119.954,emo
Take The Money And Run,Alan Parsons Project,-0.9611,0.134,0.785,0.081,68,False,0.565,0.645,0,-12.923,1,0.0484,0.0552,2.84e-06,0.151,0.836,99.3,psych-rock
The Raven,Alan Parsons Project,-0.2154,0.115,0.797,0.088,16,False,0.689,0.861,2,-3.333,1,0.0873,0.000883,0.713,0.276,0.0302,171.974,drum-and-bass
The Real World,Alan Parsons Project,-0.5921,0.111,0.792,0.096,22,False,0.537,0.548,5,-15.1,0,0.963,0.736,0.0,0.745,0.73,179.403,comedy
The Voice,Alan Parsons Project,-0.9593,0.149,0.83,0.021,25,False,0.892,0.594,8,-7.031,0,0.123,0.432,0.0,0.11,0.83,125.019,dub
Time,Alan Parsons Project,0.9866,0.0,0.775,0.225,10,False,0.75,0.619,3,-12.241,0,0.0511,0.0266,0.894,0.0269,0.741,120.984,chicago-house
Make Me A Channel Of Your Peace,Aled Jones,0.9959,0.081,0.638,0.281,39,False,0.191,0.226,0,-13.633,1,0.0378,0.919,6.86e-06,0.0763,0.154,82.297,opera
Be My Lover,Alice Cooper,0.9911,0.0,0.752,0.248,68,False,0.658,0.963,1,-3.283,0,0.0326,0.00283,2.38e-06,0.951,0.793,134.798,german
Crawlin',Alice Cooper,-0.7476,0.065,0.909,0.026,29,False,0.414,0.852,4,-5.811,1,0.0575,0.00447,0.0487,0.107,0.454,129.293,garage
Desperado,Alice Cooper,-0.9898,0.235,0.719,0.046,48,False,0.721,0.976,10,-2.326,0,0.11,0.0379,0.548,0.155,0.0665,128.034,dub
Die For You,Alice Cooper,-0.8861,0.168,0.72,0.112,88,False,0.582,0.525,1,-7.163,0,0.0627,0.111,0.0,0.134,0.51,133.249,pop
Give It Up,Alice Cooper,-0.6444,0.06,0.894,0.046,68,False,0.862,0.624,3,-11.63,1,0.0565,0.0192,0.000153,0.0465,0.882,124.896,disco
Headlines,Alice Cooper,0.9608,0.074,0.771,0.155,53,False,0.706,0.765,1,-3.042,1,0.047,0.163,0.00746,0.684,0.27,87.507,drum-and-bass
Killer,Alice Cooper,-0.4741,0.142,0.759,0.099,51,False,0.558,0.0578,8,-19.907,1,0.0337,0.921,0.961,0.0954,0.0575,80.021,anime
Lullaby,Alice Cooper,0.9408,0.061,0.82,0.119,50,False,0.495,0.0647,6,-13.052,1,0.0467,0.967,7.75e-05,0.135,0.249,118.967,ambient
Poison,Alice Cooper,-0.9915,0.247,0.544,0.209,48,True,0.56,0.95,11,-5.99,0,0.129,0.0498,0.0864,0.124,0.228,103.993,breakbeat
Love Song,Alice In Chains,0.9013,0.118,0.689,0.193,73,False,0.583,0.786,2,-3.142,0,0.0301,0.0208,0.0,0.188,0.573,123.055,acoustic
No Excuses,Alice In Chains,0.8672,0.146,0.651,0.202,64,False,0.527,0.838,3,-6.013,1,0.0323,0.0206,0.00062,0.07,0.721,117.454,grunge
Real Thing,Alice In Chains,0.9914,0.028,0.762,0.21,0,False,0.615,0.322,1,-10.408,1,0.0282,0.77,3.39e-05,0.11,0.256,113.064,chill
Rotten Apple,Alice In Chains,-0.9325,0.157,0.754,0.089,60,False,0.31,0.637,3,-8.595,0,0.037,0.215,0.116,0.0619,0.426,147.4,grunge
Sealed With A Kiss,Alice In Chains,0.9967,0.0,0.587,0.413,57,False,0.449,0.362,5,-10.38,0,0.0279,0.743,0.0,0.132,0.6,90.822,rock-n-roll
Stay,Alice In Chains,-0.5831,0.187,0.683,0.131,34,False,0.532,0.772,2,-7.622,0,0.0434,0.0168,0.0164,0.112,0.189,120.077,black-metal
Gravity,Alison Krauss,0.6597,0.069,0.818,0.113,67,False,0.27,0.275,0,-10.357,1,0.0356,0.834,0.0,0.146,0.231,168.964,acoustic
It's Over,Alison Krauss,0.8063,0.062,0.816,0.122,29,False,0.724,0.431,10,-12.046,0,0.0291,0.695,0.00252,0.0698,0.378,126.665,synth-pop
Lay Down Beside Me,Alison Krauss,0.946,0.064,0.781,0.155,43,False,0.345,0.251,5,-12.326,1,0.0277,0.623,0.000584,0.0847,0.268,74.761,bluegrass
Lord Don't Forsake Me,Alison Krauss,-0.6072,0.079,0.876,0.045,24,False,0.571,0.135,0,-18.046,0,0.0323,0.861,4.79e-05,0.186,0.588,131.633,bluegrass
Maybe,Alison Krauss,0.9081,0.054,0.799,0.147,47,False,0.571,0.551,9,-7.898,0,0.0399,0.581,1.31e-05,0.286,0.413,134.915,ambient
Demons,Allman Brothers Band,-0.837,0.142,0.74,0.118,63,False,0.678,0.351,0,-8.654,1,0.0266,0.747,0.0,0.355,0.569,90.032,acoustic
Midnight Blues,Allman Brothers Band,0.9246,0.0,0.828,0.172,49,False,0.477,0.251,4,-12.852,0,0.0592,0.782,0.0387,0.0842,0.114,131.876,british
Sail Away,Allman Brothers Band,0.9451,0.015,0.851,0.135,0,False,0.409,0.197,0,-13.803,1,0.0294,0.797,0.000319,0.267,0.0615,87.814,blues
Straight From The Heart,Allman Brothers Band,0.9601,0.05,0.76,0.19,64,False,0.584,0.233,0,-18.404,1,0.027,0.0814,0.0,0.141,0.356,84.775,singer-songwriter
The Weight,Allman Brothers Band,0.9206,0.069,0.819,0.112,41,False,0.699,0.476,9,-11.095,0,0.0395,0.215,0.611,0.218,0.457,96.019,minimal-techno
Apollo,Alphaville,0.9932,0.096,0.669,0.234,16,False,0.447,0.945,1,-3.79,1,0.0432,1.55e-05,0.73,0.562,0.101,174.025,drum-and-bass
Ariana,Alphaville,-0.5719,0.063,0.915,0.022,47,False,0.513,0.185,6,-24.03,1,0.0348,0.967,0.897,0.101,0.0341,92.992,ambient
Forever Young,Alphaville,0.9945,0.045,0.722,0.233,65,False,0.653,0.621,8,-6.045,1,0.0308,0.178,0.0,0.0952,0.584,121.98,edm
Wishful Thinking,Alphaville,-0.5647,0.134,0.76,0.106,21,False,0.58,0.408,9,-12.966,1,0.0372,0.573,0.819,0.143,0.471,139.047,guitar
Children,America,0.4588,0.013,0.946,0.041,49,False,0.467,0.942,1,-3.122,1,0.0401,2.47e-05,0.934,0.148,0.235,173.984,dub
Cinderella,America,0.9555,0.043,0.825,0.132,0,True,0.408,0.533,8,-6.871,0,0.0536,0.235,0.0,0.345,0.239,140.069,hip-hop
Don't Cry Baby,America,0.9752,0.056,0.775,0.169,39,False,0.623,0.353,7,-10.339,1,0.0317,0.889,0.012,0.109,0.236,105.908,j-pop
Foolin',America,0.9081,0.128,0.678,0.194,27,False,0.725,0.826,11,-4.279,1,0.0322,0.0119,0.000889,0.0684,0.566,120.007,british
Golden,America,0.8074,0.043,0.863,0.094,16,False,0.474,0.869,5,-5.331,0,0.0367,0.00101,0.885,0.108,0.195,86.999,drum-and-bass
Have Yourself A Merry Little Christmas,America,0.9876,0.035,0.719,0.246,1,False,0.609,0.247,7,-9.038,1,0.0425,0.961,2.41e-06,0.219,0.485,112.3,blues
Here,America,0.0,0.0,1.0,0.0,51,False,0.594,0.801,7,-4.14,1,0.0459,0.483,0.0,0.196,0.594,108.071,anime
Hope,America,0.9988,0.046,0.589,0.365,65,False,0.773,0.699,1,-5.982,0,0.0958,0.488,3.6e-06,0.0814,0.513,104.941,edm
International,America,0.9628,0.015,0.827,0.158,25,False,0.659,0.736,11,-8.119,0,0.202,0.00473,0.0,0.239,0.63,96.971,afrobeat
Let It Snow,America,0.9859,0.11,0.689,0.202,0,False,0.598,0.705,4,-6.621,1,0.0461,0.0923,0.0,0.254,0.943,149.999,alt-rock
Letter,America,0.9245,0.172,0.617,0.211,31,False,0.728,0.569,10,-9.173,0,0.0377,0.143,0.598,0.463,0.333,109.972,idm
Moon Song,America,0.4588,0.067,0.817,0.116,72,False,0.339,0.243,1,-12.512,1,0.056,0.869,0.00369,0.107,0.183,154.909,indie-pop
Riverside,America,0.8898,0.0,0.834,0.166,61,False,0.86,0.721,1,-5.004,0,0.0376,0.0205,1.96e-06,0.155,0.359,122.002,deep-house
Seasons,America,-0.4767,0.049,0.93,0.02,58,False,0.542,0.676,6,-7.363,1,0.0395,0.148,0.0,0.101,0.48,144.907,edm
Simple Life,America,0.8979,0.015,0.891,0.094,1,False,0.549,0.891,6,-4.044,1,0.0351,0.0141,0.00323,0.0661,0.508,111.996,blues
